scenario,hour,price,soc,charge,discharge
41,1,19.82,0.0,0.0,0.0
41,2,19.12,0.0,0.0,0.0
41,3,22.74,0.0,0.0,0.0
41,4,21.62,0.0,15.263157894736842,0.0
41,5,6.47,14.5,30.0,0.0
41,6,4.96,43.0,30.0,0.0
41,7,15.13,71.5,30.0,0.0
41,8,15.42,100.0,0.0,0.0
41,9,18.04,100.0,0.0,0.0
41,10,18.97,100.0,0.0,0.0
41,11,24.6,100.0,0.0,0.0
41,12,30.32,100.0,0.0,0.0
41,13,37.84,100.0,0.0,0.0
41,14,63.56,100.0,0.0,0.0
41,15,61.2,100.0,0.0,30.0
41,16,80.41,68.42105263157895,0.0,9.090622904148587
41,17,80.76,58.85197589036991,0.0,8.302643915244703
41,18,68.34,50.11235071642811,0.0,14.278619800064495
41,19,52.28,35.08222461109706,0.0,12.966908726687164
41,20,36.99,21.43284700405794,0.0,20.361204653855044
41,21,31.24,0.0,0.0,0.0
41,22,26.34,0.0,0.0,0.0
41,23,25.43,0.0,0.0,0.0
41,24,23.7,0.0,0.0,0.0
42,1,18.52,0.0,0.0,0.0
42,2,14.86,0.0,0.0,0.0
42,3,12.82,0.0,0.0,0.0
42,4,11.39,0.0,15.263157894736842,0.0
42,5,10.56,14.5,30.0,0.0
42,6,11.86,43.0,30.0,0.0
42,7,14.02,71.5,30.0,0.0
42,8,16.17,100.0,0.0,0.0
42,9,19.05,100.0,0.0,0.0
42,10,20.11,100.0,0.0,0.0
42,11,25.4,100.0,0.0,0.0
42,12,31.46,100.0,0.0,0.0
42,13,40.33,100.0,0.0,0.0
42,14,63.57,100.0,0.0,0.0
42,15,60.03,100.0,0.0,30.0
42,16,85.16,68.42105263157895,0.0,9.090622904148587
42,17,88.65,58.85197589036991,0.0,8.302643915244703
42,18,70.7,50.11235071642811,0.0,14.278619800064495
42,19,52.59,35.08222461109706,0.0,12.966908726687164
42,20,40.59,21.43284700405794,0.0,20.361204653855044
42,21,33.78,0.0,0.0,0.0
42,22,32.33,0.0,0.0,0.0
42,23,26.89,0.0,0.0,0.0
42,24,21.85,0.0,0.0,0.0
43,1,16.79,0.0,0.0,0.0
43,2,16.62,0.0,0.0,0.0
43,3,17.23,0.0,0.0,0.0
43,4,16.75,0.0,15.263157894736842,0.0
43,5,16.24,14.5,30.0,0.0
43,6,14.78,43.0,30.0,0.0
43,7,15.21,71.5,30.0,0.0
43,8,15.85,100.0,0.0,0.0
43,9,16.73,100.0,0.0,0.0
43,10,19.42,100.0,0.0,0.0
43,11,20.65,100.0,0.0,0.0
43,12,25.29,100.0,0.0,0.0
43,13,29.75,100.0,0.0,0.0
43,14,51.04,100.0,0.0,0.0
43,15,51.47,100.0,0.0,30.0
43,16,77.17,68.42105263157895,0.0,9.090622904148587
43,17,75.3,58.85197589036991,0.0,8.302643915244703
43,18,53.04,50.11235071642811,0.0,14.278619800064495
43,19,38.53,35.08222461109706,0.0,12.966908726687164
43,20,32.81,21.43284700405794,0.0,20.361204653855044
43,21,30.86,0.0,0.0,0.0
43,22,28.53,0.0,0.0,0.0
43,23,26.16,0.0,0.0,0.0
43,24,21.54,0.0,0.0,0.0
44,1,17.87,0.0,0.0,0.0
44,2,15.79,0.0,0.0,0.0
44,3,15.52,0.0,0.0,0.0
44,4,14.39,0.0,15.263157894736842,0.0
44,5,13.72,14.5,30.0,0.0
44,6,12.19,43.0,30.0,0.0
44,7,12.53,71.5,30.0,0.0
44,8,14.58,100.0,0.0,0.0
44,9,17.96,100.0,0.0,0.0
44,10,19.07,100.0,0.0,0.0
44,11,23.03,100.0,0.0,0.0
44,12,27.27,100.0,0.0,0.0
44,13,31.07,100.0,0.0,0.0
44,14,54.27,100.0,0.0,0.0
44,15,48.23,100.0,0.0,30.0
44,16,74.71,68.42105263157895,0.0,9.090622904148587
44,17,85.05,58.85197589036991,0.0,8.302643915244703
44,18,67.85,50.11235071642811,0.0,14.278619800064495
44,19,48.68,35.08222461109706,0.0,12.966908726687164
44,20,34.95,21.43284700405794,0.0,20.361204653855044
44,21,31.65,0.0,0.0,0.0
44,22,29.25,0.0,0.0,0.0
44,23,25.6,0.0,0.0,0.0
44,24,20.99,0.0,0.0,0.0
45,1,21.43,0.0,0.0,0.0
45,2,15.1,0.0,0.0,0.0
45,3,15.24,0.0,0.0,0.0
45,4,14.92,0.0,15.263157894736842,0.0
45,5,14.6,14.5,30.0,0.0
45,6,13.47,43.0,30.0,0.0
45,7,15.59,71.5,30.0,0.0
45,8,16.51,100.0,0.0,0.0
45,9,17.53,100.0,0.0,0.0
45,10,17.67,100.0,0.0,0.0
45,11,27.69,100.0,0.0,0.0
45,12,30.15,100.0,0.0,0.0
45,13,37.38,100.0,0.0,0.0
45,14,63.29,100.0,0.0,0.0
45,15,103.68,100.0,0.0,30.0
45,16,118.36,68.42105263157895,0.0,9.090622904148587
45,17,254.9,58.85197589036991,0.0,8.302643915244703
45,18,102.12,50.11235071642811,0.0,14.278619800064495
45,19,49.14,35.08222461109706,0.0,12.966908726687164
45,20,40.06,21.43284700405794,0.0,20.361204653855044
45,21,35.74,0.0,0.0,0.0
45,22,33.49,0.0,0.0,0.0
45,23,33.37,0.0,0.0,0.0
45,24,25.5,0.0,0.0,0.0
46,1,18.06,0.0,0.0,0.0
46,2,16.15,0.0,0.0,0.0
46,3,15.91,0.0,0.0,0.0
46,4,16.63,0.0,15.263157894736842,0.0
46,5,15.81,14.5,30.0,0.0
46,6,3.02,43.0,30.0,0.0
46,7,9.03,71.5,30.0,0.0
46,8,12.25,100.0,0.0,0.0
46,9,15.27,100.0,0.0,0.0
46,10,17.57,100.0,0.0,0.0
46,11,19.9,100.0,0.0,0.0
46,12,18.66,100.0,0.0,0.0
46,13,20.66,100.0,0.0,0.0
46,14,4.32,100.0,0.0,0.0
46,15,254.84,100.0,0.0,30.0
46,16,1060.48,68.42105263157895,0.0,9.090622904148587
46,17,1573.58,58.85197589036991,0.0,8.302643915244703
46,18,345.26,50.11235071642811,0.0,14.278619800064495
46,19,281.3,35.08222461109706,0.0,12.966908726687164
46,20,93.94,21.43284700405794,0.0,20.361204653855044
46,21,33.88,0.0,0.0,0.0
46,22,33.18,0.0,0.0,0.0
46,23,33.42,0.0,0.0,0.0
46,24,27.54,0.0,0.0,0.0
47,1,22.76,0.0,0.0,0.0
47,2,16.49,0.0,0.0,0.0
47,3,15.89,0.0,0.0,0.0
47,4,14.37,0.0,15.263157894736842,0.0
47,5,14.94,14.5,30.0,0.0
47,6,13.95,43.0,30.0,0.0
47,7,15.04,71.5,30.0,0.0
47,8,15.54,100.0,0.0,0.0
47,9,17.18,100.0,0.0,0.0
47,10,18.11,100.0,0.0,0.0
47,11,19.8,100.0,0.0,0.0
47,12,28.2,100.0,0.0,0.0
47,13,31.32,100.0,0.0,0.0
47,14,48.13,100.0,0.0,0.0
47,15,44.38,100.0,0.0,30.0
47,16,77.74,68.42105263157895,0.0,9.090622904148587
47,17,87.54,58.85197589036991,0.0,8.302643915244703
47,18,72.03,50.11235071642811,0.0,14.278619800064495
47,19,44.43,35.08222461109706,0.0,12.966908726687164
47,20,38.36,21.43284700405794,0.0,20.361204653855044
47,21,33.63,0.0,0.0,0.0
47,22,26.37,0.0,0.0,0.0
47,23,28.04,0.0,0.0,0.0
47,24,24.5,0.0,0.0,0.0
48,1,15.7,0.0,0.0,0.0
48,2,14.98,0.0,0.0,0.0
48,3,13.99,0.0,0.0,0.0
48,4,12.88,0.0,15.263157894736842,0.0
48,5,13.76,14.5,30.0,0.0
48,6,12.92,43.0,30.0,0.0
48,7,13.72,71.5,30.0,0.0
48,8,12.97,100.0,0.0,0.0
48,9,15.67,100.0,0.0,0.0
48,10,16.27,100.0,0.0,0.0
48,11,10.4,100.0,0.0,0.0
48,12,18.2,100.0,0.0,0.0
48,13,20.77,100.0,0.0,0.0
48,14,43.89,100.0,0.0,0.0
48,15,35.14,100.0,0.0,30.0
48,16,59.3,68.42105263157895,0.0,9.090622904148587
48,17,62.09,58.85197589036991,0.0,8.302643915244703
48,18,62.73,50.11235071642811,0.0,14.278619800064495
48,19,52.49,35.08222461109706,0.0,12.966908726687164
48,20,29.87,21.43284700405794,0.0,20.361204653855044
48,21,28.17,0.0,0.0,0.0
48,22,21.97,0.0,0.0,0.0
48,23,20.75,0.0,0.0,0.0
48,24,28.87,0.0,0.0,0.0
49,1,16.16,0.0,0.0,0.0
49,2,15.55,0.0,0.0,0.0
49,3,15.66,0.0,0.0,0.0
49,4,14.6,0.0,15.263157894736842,0.0
49,5,14.32,14.5,30.0,0.0
49,6,13.57,43.0,30.0,0.0
49,7,14.95,71.5,30.0,0.0
49,8,15.5,100.0,0.0,0.0
49,9,17.23,100.0,0.0,0.0
49,10,18.71,100.0,0.0,0.0
49,11,21.42,100.0,0.0,0.0
49,12,27.37,100.0,0.0,0.0
49,13,33.03,100.0,0.0,0.0
49,14,54.2,100.0,0.0,0.0
49,15,54.76,100.0,0.0,30.0
49,16,79.95,68.42105263157895,0.0,9.090622904148587
49,17,106.28,58.85197589036991,0.0,8.302643915244703
49,18,76.14,50.11235071642811,0.0,14.278619800064495
49,19,44.68,35.08222461109706,0.0,12.966908726687164
49,20,28.91,21.43284700405794,0.0,20.361204653855044
49,21,29.23,0.0,0.0,0.0
49,22,26.05,0.0,0.0,0.0
49,23,22.98,0.0,0.0,0.0
49,24,20.35,0.0,0.0,0.0
50,1,19.73,0.0,0.0,0.0
50,2,23.13,0.0,0.0,0.0
50,3,21.76,0.0,0.0,0.0
50,4,19.23,0.0,15.263157894736842,0.0
50,5,18.19,14.5,30.0,0.0
50,6,17.07,43.0,30.0,0.0
50,7,17.1,71.5,30.0,0.0
50,8,17.28,100.0,0.0,0.0
50,9,18.38,100.0,0.0,0.0
50,10,18.29,100.0,0.0,0.0
50,11,22.82,100.0,0.0,0.0
50,12,27.12,100.0,0.0,0.0
50,13,21.44,100.0,0.0,0.0
50,14,35.45,100.0,0.0,0.0
50,15,50.35,100.0,0.0,30.0
50,16,75.36,68.42105263157895,0.0,9.090622904148587
50,17,478.32,58.85197589036991,0.0,8.302643915244703
50,18,976.39,50.11235071642811,0.0,14.278619800064495
50,19,1075.16,35.08222461109706,0.0,12.966908726687164
50,20,160.96,21.43284700405794,0.0,20.361204653855044
50,21,48.25,0.0,0.0,0.0
50,22,48.5,0.0,0.0,0.0
50,23,38.96,0.0,0.0,0.0
50,24,29.31,0.0,0.0,0.0
51,1,19.36,0.0,0.0,0.0
51,2,16.89,0.0,0.0,0.0
51,3,16.7,0.0,0.0,0.0
51,4,15.87,0.0,15.263157894736842,0.0
